serial_number,manufacture_date,chemistry,capacity_ah,voltage_v,weight_kg,domestic_value_add,cell_source,carbon_footprint,materials
IMP-DL-LFP-2026-001,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-002,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-003,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-004,2026-04-01,LFP,20,12,2.5,18.0,IMPORTED,,
IMP-DL-LFP-2026-005,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-006,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-007,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-008,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-009,2026-04-01,LFP,20,12,2.5,19.2,IMPORTED,,
IMP-DL-LFP-2026-010,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-011,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-012,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-013,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-014,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
IMP-DL-LFP-2026-015,2026-04-01,LFP,20,12,2.5,15.5,IMPORTED,,
